floor,legacy_edge_id,new_space_id,intrusion_length_px
1f,e07,1f_b2_103,117.8
1f,e07,1f_b2_mri,32.337
1f,e09,1f_b1_129,79.4
1f,e10,1f_b2_courtyard,149.4
1f,e11,1f_b1_pharmacy,105.4
1f,e11,1f_b1_emergency_a,23.063
1f,e12,1f_b1_emergency_a,107.337
1f,e13,1f_b1_infusion,100.505
1f,e14,1f_b1_observation,109.442
1f,e15,1f_b1_observation,68.894
1f,e17,1f_b1_service,81.804
1f,e18,1f_b2_machine_2,32.686
1f,e19,1f_b2_machine_2,64.151
1f,e20,1f_b2_clinic_n1,43.443
1f,e20,1f_b2_clinic_n0,47.4
1f,e21,1f_b2_103,53.4
1f,e21,1f_b2_mri,60.933
1f,e22,1f_b2_102,62.266
1f,e23,1f_b2_courtyard,82.834
1f,e24,1f_b1_pharmacy,16.985
1f,e26,1f_b1_129,100.323
1f,e27,1f_b2_surgery,110.919
1f,e28,1f_b2_restroom_nw,11.984
2f,e_2f_e_208,2f_b1_208,5.892
2f,e_2f_e_208,2f_b1_210,16.015
2f,e_2f_e_220,2f_b1_220,33.821
2f,e_2f_e_220,2f_b1_222,9.12
3f,e_3f_b1_312,3f_b1_310,46.811
3f,e_3f_b1_314,3f_b1_316,46.663
3f,e_3f_b1_320,3f_b1_318,46.811
3f,e_3f_b1_322,3f_b1_324,48.533
3f,e_3f_b1_328,3f_b1_326,49.974
