preview_label,poi_id,building_id,level_id,name,route_node_id,access_control
301,poi_3f_b1_301,zju2_zijingang_b1,zju2_zijingang_b1_3f,一号楼301,n_o_3f_b1_301,unknown
303,poi_3f_b1_303,zju2_zijingang_b1,zju2_zijingang_b1_3f,一号楼303,n_o_3f_b1_303,unknown
305,poi_3f_b1_305,zju2_zijingang_b1,zju2_zijingang_b1_3f,一号楼305,n_o_3f_b1_305,unknown
307,poi_3f_b1_307,zju2_zijingang_b1,zju2_zijingang_b1_3f,一号楼307,n_o_3f_b1_307,unknown
309,poi_3f_b1_309,zju2_zijingang_b1,zju2_zijingang_b1_3f,一号楼309,n_o_3f_b1_309,unknown
311,poi_3f_b1_311,zju2_zijingang_b1,zju2_zijingang_b1_3f,一号楼311,n_o_3f_b1_311,unknown
302,poi_3f_b1_302,zju2_zijingang_b1,zju2_zijingang_b1_3f,一号楼302,n_o_3f_b1_302,unknown
304,poi_3f_b1_304,zju2_zijingang_b1,zju2_zijingang_b1_3f,一号楼304,n_o_3f_b1_304,unknown
306,poi_3f_b1_306,zju2_zijingang_b1,zju2_zijingang_b1_3f,一号楼306,n_o_3f_b1_306,unknown
308,poi_3f_b1_308,zju2_zijingang_b1,zju2_zijingang_b1_3f,一号楼308,n_o_3f_b1_308,unknown
310,poi_3f_b1_310,zju2_zijingang_b1,zju2_zijingang_b1_3f,一号楼310,n_o_3f_b1_310,unknown
312,poi_3f_b1_312,zju2_zijingang_b1,zju2_zijingang_b1_3f,一号楼312,n_o_3f_b1_312,unknown
316,poi_3f_b1_316,zju2_zijingang_b1,zju2_zijingang_b1_3f,一号楼316,n_o_3f_b1_316,unknown
314,poi_3f_b1_314,zju2_zijingang_b1,zju2_zijingang_b1_3f,一号楼314,n_o_3f_b1_314,unknown
318,poi_3f_b1_318,zju2_zijingang_b1,zju2_zijingang_b1_3f,一号楼318,n_o_3f_b1_318,unknown
320,poi_3f_b1_320,zju2_zijingang_b1,zju2_zijingang_b1_3f,一号楼320,n_o_3f_b1_320,unknown
324,poi_3f_b1_324,zju2_zijingang_b1,zju2_zijingang_b1_3f,一号楼324,n_o_3f_b1_324,unknown
322,poi_3f_b1_322,zju2_zijingang_b1,zju2_zijingang_b1_3f,一号楼322,n_o_3f_b1_322,unknown
326,poi_3f_b1_326,zju2_zijingang_b1,zju2_zijingang_b1_3f,一号楼326,n_o_3f_b1_326,unknown
328,poi_3f_b1_328,zju2_zijingang_b1,zju2_zijingang_b1_3f,一号楼328,n_o_3f_b1_328,unknown
330,poi_3f_b1_330,zju2_zijingang_b1,zju2_zijingang_b1_3f,一号楼330,n_o_3f_b1_330,unknown
332,poi_3f_b1_332,zju2_zijingang_b1,zju2_zijingang_b1_3f,一号楼332,n_o_3f_b1_332,unknown
336,poi_3f_b1_336,zju2_zijingang_b1,zju2_zijingang_b1_3f,一号楼336,n_o_3f_b1_336,unknown
338,poi_3f_b1_338,zju2_zijingang_b1,zju2_zijingang_b1_3f,一号楼338,n_o_3f_b1_338,unknown
P25,poi_3f_b1_stair_n,zju2_zijingang_b1,zju2_zijingang_b1_3f,一号楼图上侧楼梯,n_o_3f_b1_stair_n,unknown
P26,poi_3f_b1_stair_s,zju2_zijingang_b1,zju2_zijingang_b1_3f,一号楼图下侧楼梯,n_o_3f_b1_stair_s,unknown
P27,poi_3f_b1_toilets,zju2_zijingang_b1,zju2_zijingang_b1_3f,toilets,,unknown
P28,poi_3f_b1_unknown_shaft_s,zju2_zijingang_b1,zju2_zijingang_b1_3f,未标注方框（用途待核）,,unknown
